degree_name,Type,Institute,Faculty
Bachelor of Science (Special) in Molecular Biology and Plant Biotechnology,Undergraduate,University of Kelaniya,Faculty of Science
Bachelor of Science (Special) in Physics,Undergraduate,University of Kelaniya,Faculty of Science
Bachelor of Science (Special) in Statistics,Undergraduate,University of Kelaniya,Faculty of Science
Bachelor of Science (Special) in Zoology,Undergraduate,University of Kelaniya,Faculty of Science
Bachelor of Arts in Peace & Conflict Resolution,Undergraduate,University of Kelaniya,Faculty of Social Sciences
Honours Degree of Bachelor of Design (Fashion Design & Product Development),Undergraduate,University of Moratuwa,Faculty of Engineering
Honours Degree of Bachelor of Science in Transport & Logistics Management,Undergraduate,University of Moratuwa,Faculty of Engineering
Honours Degree of Bachelor of Science of Engineering - Specialisation: Chemical & Process Engineering,Undergraduate,University of Moratuwa,Faculty of Engineering
Honours Degree of Bachelor of Science of Engineering - Specialisation: Civil Engineering,Undergraduate,University of Moratuwa,Faculty of Engineering
Honours Degree of Bachelor of Science of Engineering - Specialisation: Computer Science & Engineering,Undergraduate,University of Moratuwa,Faculty of Engineering
Honours Degree of Bachelor of Science of Engineering - Specialisation: Earth Resources Engineering,Undergraduate,University of Moratuwa,Faculty of Engineering
Honours Degree of Bachelor of Science of Engineering - Specialisation: Electrical Engineering,Undergraduate,University of Moratuwa,Faculty of Engineering
Honours Degree of Bachelor of Science of Engineering - Specialisation: Electronic & Telecommunication Engineering,Undergraduate,University of Moratuwa,Faculty of Engineering
Honours Degree of Bachelor of Science of Engineering - Specialisation: Material Science & Engineering,Undergraduate,University of Moratuwa,Faculty of Engineering
Honours Degree of Bachelor of Science of Engineering - Specialisation: Mechanical Engineering,Undergraduate,University of Moratuwa,Faculty of Engineering
Honours Degree of Bachelor of Science of Engineering - Specialisation: Textile & Clothing Engineering,Undergraduate,University of Moratuwa,Faculty of Engineering
Master of Science,Postgraduate,University of Moratuwa,Faculty of Engineering
Postgraduate Diploma in Material Science,Postgraduate,University of Moratuwa,Faculty of Engineering
Master of Science / Postgraduate Diploma in Business Statistics,Postgraduate,University of Moratuwa,Faculty of Engineering
Master of Science in Gemmology/Postgraduate Diploma in Gemmology/Master of Gemmology,Postgraduate,University of Moratuwa,Faculty of Engineering
Honours Degree of Bachelor of Architecture,Undergraduate,University of Moratuwa,Faculty of Architecture
Honours Degree of Bachelor of Design,Undergraduate,University of Moratuwa,Faculty of Architecture
Honours Degree of Bachelor of Science in Facilities Management,Undergraduate,University of Moratuwa,Faculty of Architecture
Honours Degree of Bachelor of Science in Quantity Surveying,Undergraduate,University of Moratuwa,Faculty of Architecture
Honours Degree of Bachelor of Science in Town & Country Planning,Undergraduate,University of Moratuwa,Faculty of Architecture
Master of Urban Design,Postgraduate,University of Moratuwa,Faculty of Architecture
Master of Science / Postgraduate Diploma in Building Economics & Quantity Surveying,Postgraduate,University of Moratuwa,Faculty of Architecture
Master of Science in Construction Law and Dispute Resolution,Postgraduate,University of Moratuwa,Faculty of Architecture
Degree of Bachelor of Science in Information Technology,Undergraduate,University of Moratuwa,Faculty of Information Technology
Honours Degree of Bachelor of Science in Information Technology,Undergraduate,University of Moratuwa,Faculty of Information Technology
Honours Degree of Bachelor of Science in Information Technology & Management,Undergraduate,University of Moratuwa,Faculty of Information Technology
Bachelor of Science (Agriculture),Undergraduate,University of Jaffna,Faculty of Agriculture
Bachelor of Arts (General),Undergraduate,University of Jaffna,Faculty of Arts
Bachelor of Arts (Special),Undergraduate,University of Jaffna,Faculty of Arts
Bachelor of Fine Arts (Art & Design),Undergraduate,University of Jaffna,Faculty of Arts
Bachelor of Fine Arts (Dance),Undergraduate,University of Jaffna,Faculty of Arts
Bachelor of Fine Arts (Music),Undergraduate,University of Jaffna,Faculty of Arts
Bachelor of Law,Undergraduate,University of Jaffna,Faculty of Arts
Bachelor of Medicine and Bachelor of Surgery,Undergraduate,University of Jaffna,Faculty of Medicine
Bachelor of Pharmacy in Pharmacy,Undergraduate,University of Jaffna,Faculty of Medicine
Bachelor of Science in Medical Laboratory Sciences,Undergraduate,University of Jaffna,Faculty of Medicine
Bachelor of Science in Nursing,Undergraduate,University of Jaffna,Faculty of Medicine
Bachelor of Science,Undergraduate,University of Jaffna,Faculty of Science
Bachelor of Business Administration (Accounting Special) (Special),Undergraduate,University of Jaffna,Faculty of Management Studies and Commerce
Bachelor of Business Administration (Financial Management Special) (Special),Undergraduate,University of Jaffna,Faculty of Management Studies and Commerce
Bachelor of Business Administration (Human Resource Management Special) (Special),Undergraduate,University of Jaffna,Faculty of Management Studies and Commerce
Bachelor of Business Administration (Marketing Special) (Special),Undergraduate,University of Jaffna,Faculty of Management Studies and Commerce
Bachelor of Business Management (Online),Undergraduate,University of Jaffna,Faculty of Management Studies and Commerce
Bachelor of Commerce,Undergraduate,University of Jaffna,Faculty of Management Studies and Commerce
Master of Arts in Cultural Studies,Postgraduate,University of Jaffna,Faculty of Graduate Studies
Master of Arts in Tamil,Postgraduate,University of Jaffna,Faculty of Graduate Studies
Master of Saiva Siddhanta,Postgraduate,University of Jaffna,Faculty of Graduate Studies
Master of Education,Postgraduate,University of Jaffna,Faculty of Graduate Studies
Postgraduate Diploma in Library and Information Science,Postgraduate,University of Jaffna,Faculty of Graduate Studies
Postgraduate Diploma in Education,Postgraduate,University of Jaffna,Faculty of Graduate Studies
Master of Science in Environmental Management,Postgraduate,University of Jaffna,Faculty of Graduate Studies
Master of Science in Health Management,Postgraduate,University of Jaffna,Faculty of Graduate Studies
Bachelor of Science in Agriculture,Undergraduate,University of Ruhuna,Faculty of Agriculture
Master of Science in Animal Science,Postgraduate,University of Ruhuna,Faculty of Agriculture
Master of Science in Green Technology,Postgraduate,University of Ruhuna,Faculty of Agriculture
Bachelor of Science of Engineering specializing in Civil & Environmental Engineering,Undergraduate,University of Ruhuna,Faculty of Engineering
Bachelor of Science of Engineering specializing in Electrical & Information Engineering,Undergraduate,University of Ruhuna,Faculty of Engineering
Bachelor of Science of Engineering specializing in Mechanical & Manufacturing Engineering,Undergraduate,University of Ruhuna,Faculty of Engineering
Master of Science,Postgraduate,University of Ruhuna,Faculty of Engineering
Master of Engineering in Civil Engineering,Postgraduate,University of Ruhuna,Faculty of Engineering
Bachelor of Science (Fisheries and Marine Sciences) Special Degree in Aquaculture,Undergraduate,University of Ruhuna,Faculty of Fisheries and Marine Sciences & Technology
Bachelor of Science (Fisheries and Marine Sciences) Special Degree in Fisheries,Undergraduate,University of Ruhuna,Faculty of Fisheries and Marine Sciences & Technology
Bachelor of Science (Fisheries and Marine Sciences) Special Degree in Limnology,Undergraduate,University of Ruhuna,Faculty of Fisheries and Marine Sciences & Technology
Bachelor of Science (Fisheries and Marine Sciences) Special Degree in Oceanography & Marine Geology,Undergraduate,University of Ruhuna,Faculty of Fisheries and Marine Sciences & Technology
Bachelor of Arts (General),Undergraduate,University of Ruhuna,Faculty of Humanities and Social Sciences
Bachelor of Arts (Special),Undergraduate,University of Ruhuna,Faculty of Humanities and Social Sciences
